id,episode_id,aired
234,3179,1998-05-28
235,3180,1998-05-29
236,2352,1994-11-22
237,3181,1998-06-01
238,3182,1998-06-02
239,8,1990-08-04
240,3143,1998-04-08
241,3060,1997-12-12
242,3061,1997-12-15
243,3062,1997-12-16
244,3063,1997-12-17
245,4006,2002-01-21
246,4007,2002-01-22
247,4699,2005-01-27
248,4008,2002-01-23
249,4009,2002-01-24
250,4010,2002-01-25
251,2621,1996-01-15
252,3064,1997-12-18
253,3065,1997-12-19
254,3066,1997-12-22
255,3067,1997-12-23
256,3068,1997-12-24
257,3069,1997-12-25
258,4700,2005-01-28
259,3070,1997-12-26
260,3071,1997-12-29
261,5056,2006-09-11
262,5057,2006-09-12
263,5058,2006-09-13
264,5059,2006-09-14
265,5060,2006-09-15
266,3016,1997-10-13
267,3017,1997-10-14
268,3018,1997-10-15
269,1890,1992-11-20
270,3019,1997-10-16
271,3020,1997-10-17
272,3021,1997-10-20
273,3022,1997-10-21
274,3023,1997-10-22
275,3024,1997-10-23
276,3025,1997-10-24
277,3026,1997-10-27
278,3027,1997-10-28
279,3028,1997-10-29
280,1889,1992-11-19
281,3029,1997-10-30
282,5061,2006-09-18
283,5062,2006-09-19
284,5063,2006-09-20
285,5064,2006-09-21
286,5065,2006-09-22
287,5066,2006-09-25
288,5067,2006-09-26
289,3697,2000-10-03
290,3031,1997-11-03
291,1197,1989-11-14
292,3032,1997-11-04
293,3033,1997-11-05
294,5068,2006-09-27
295,5069,2006-09-28
296,3034,1997-11-06
297,3035,1997-11-07
298,5070,2006-09-29
299,3036,1997-11-10
300,3037,1997-11-11
301,3038,1997-11-12
302,4701,2005-01-31
303,3039,1997-11-13
304,3040,1997-11-14
305,5071,2006-10-02
306,5072,2006-10-03
307,5073,2006-10-04
308,3832,2001-04-10
309,5074,2006-10-05
310,5075,2006-10-06
311,3703,2000-10-11
312,3870,2001-06-01
313,1241,1990-01-15
314,3871,2001-06-04
315,3872,2001-06-05
316,3873,2001-06-06
317,3874,2001-06-07
318,3875,2001-06-08
319,3876,2001-06-11
320,5076,2006-10-09
321,5077,2006-10-10
322,5078,2006-10-11
323,5079,2006-10-12
324,4702,2005-02-01
325,5080,2006-10-13
326,3862,2001-05-22
327,5081,2006-10-16
328,3621,2000-05-08
329,5082,2006-10-17
330,3622,2000-05-09
331,5083,2006-10-18
332,3623,2000-05-10
333,3625,2000-05-12
334,5084,2006-10-19
335,4608,2004-09-22
336,4703,2005-02-02
337,3626,2000-05-15
338,5085,2006-10-20
339,3627,2000-05-16
340,3628,2000-05-17
341,3629,2000-05-18
342,3630,2000-05-19
343,3340,1999-02-26
344,5086,2006-10-23
345,5087,2006-10-24
346,1,1983-09-18
347,1486,1991-02-04
348,5088,2006-10-25
349,3631,2000-05-22
350,3632,2000-05-23
351,3633,2000-05-24
352,3635,2000-05-26
353,3637,2000-05-30
354,3634,2000-05-25
355,2,1984-01-01
356,5089,2006-10-26
357,5090,2006-10-27
358,1498,1991-02-20
359,5091,2006-10-30
360,5092,2006-10-31
361,5093,2006-11-01
362,2893,1997-03-12
363,2894,1997-03-13
364,2895,1997-03-14
365,2896,1997-03-17
366,2897,1997-03-18
367,2898,1997-03-19
368,2899,1997-03-20
369,4704,2005-02-03
370,2900,1997-03-21
371,2901,1997-03-24
372,2902,1997-03-25
373,2903,1997-03-26
374,5094,2006-11-02
375,617,1987-04-21
376,618,1987-04-22
377,619,1987-04-23
378,620,1987-04-24
379,621,1987-04-27
380,1884,1992-11-12
381,5095,2006-11-03
382,4227,2003-01-07
383,776,1988-01-11
384,777,1988-01-12
385,778,1988-01-13
386,779,1988-01-14
387,780,1988-01-15
388,1,1990-06-16
389,3,1990-06-30
390,7,1990-07-28
391,4705,2005-02-04
392,5096,2006-11-06
393,5097,2006-11-07
